Fecha_Hora,Prediccion_Recursiva,Temperatura_Real,Error
2025-11-06 00:00:00,13.987052169728132,13.83,-0.15705216972813218
2025-11-06 01:00:00,13.713034657241005,13.83,0.11696534275899495
2025-11-06 02:00:00,13.5983803313103,12.72,-0.8783803313103
2025-11-06 03:00:00,13.516663397626488,10.5,-3.0166633976264876
2025-11-06 04:00:00,13.429731315323375,14.4,0.9702686846766255
2025-11-06 05:00:00,13.293462074227033,8.97,-4.323462074227033
2025-11-06 06:00:00,13.601723378101639,9.82,-3.7817233781016384
2025-11-06 07:00:00,14.158429694998189,10.09,-4.068429694998189
2025-11-06 08:00:00,14.641284139283055,10.47,-4.171284139283054
2025-11-06 09:00:00,16.505254454967417,12.55,-3.9552544549674167
2025-11-06 10:00:00,17.18261037356778,13.94,-3.2426103735677803
